,AutoEncoder (AE),CBLOF,COPOD,DeepAnT,DenoisingAutoEncoder (DAE),HBOS,Hybrid KNN,LOF,PCC,RobustPCA,Random Black Forest (RR),Torsk
OBSEA/2020-06-23.out,0.3392068055335725,0.6647799362741041,0.6377914938232183,0.61858495102301,0.3344895965988094,0.6295829733966137,0.5465560463172974,0.1534949597606456,0.5917933666303182,0.5012440722385201,0.3366126696876182,0.123517701463456
OBSEA/2022-03-13.out,0.8837534605312383,0.99109552313256,0.9189912707320116,0.9294170454545456,0.9436005736376109,0.5435458286569398,0.7407061977802718,0.99899139543584,0.9987300162114976,0.6319768050879162,0.8368717914616306,0.8474333476825944
OBSEA/2023-11-06.out,0.9508884570082452,0.9867685512367492,0.9179003533568904,0.257259952885748,0.9619455830388692,0.540516843345112,0.741112367491166,0.999,0.9663143698468788,0.6456272084805653,0.893112140175219,0.7968126344086022
OBSEA/2020-11-26.out,0.9689625897378908,0.9671879101491718,0.9700996656510128,0.986800915506094,0.942802669543593,0.978477356921266,0.8974548550263388,0.9671879101491718,0.954967742095901,0.8772966805439625,0.9755757343905788,0.9612032653153796
OBSEA/2023-06-24.out,0.0090589647023522,0.0090880611567189,0.0158609023350734,0.0048855109447022,0.0140361697473425,0.0236131441128341,0.0052471965900471,0.0079382885757618,0.0198438673231616,0.00304848626312,0.0099484967490921,0.0102556936564573
OBSEA/2021-12-13.out,0.9949622641509434,0.9744566500752402,0.9181911100821856,0.9303077283372364,0.952808658409538,0.5733376548211598,0.7419758073851139,0.9989924759810164,0.989523092950573,0.7326790137747425,0.7518171765573166,0.8070379496639875
OBSEA/2020-07-07.out,0.2384836352719873,0.3043000756122932,0.3290278057645672,0.3044838618584707,0.2277759215268646,0.293642228365194,0.3671747722903293,0.3043000756122932,0.3386533660489632,0.2974927681978593,0.1693667290586865,0.1710103830844878
OBSEA/2023-04-26.out,0.0121730550593821,0.0388483125261833,0.0163247954979383,0.0155099080283756,0.0154402100815477,0.0186756192824009,0.0368641074135772,0.0388483125261833,0.0413316331592829,0.0057346088833932,0.0272934636834349,0.5055352726416206
OBSEA/2023-11-07.out,0.940226551397442,0.9864315490288962,0.9180881099005213,0.2559265750828991,0.9661676930364756,0.5701689957366176,0.7411808384651825,0.999,0.9965761487446708,0.7071982472761724,0.8566112789526688,0.8121263186367326
OBSEA/2022-03-26.out,0.9164007178418432,0.9854608081509784,0.9181134653236078,0.9298813539470604,0.7999370151673034,0.5149366678244761,0.7410688896607619,0.9989950214194744,0.9972439504457564,0.4034238740303346,0.7460560403096965,0.8033155397390273
